domain,tier,category,country,languages,owner,rating_sources,notes
abc.net.au,1,public_broadcaster,AU,en,abc.net.au,Lin2023 pc1=0.893; RSP Generally reliable,
afp.com,1,wire,FR,fr;en;es;ar,afp,Lin2023 pc1=0.955; RSP Generally reliable (AFP); AFP Factual/AFP Factuel is IFCN verified signatory & EFCSN member,Spanish fact-checks at factual.afp.com; Arabic at factcheck.afp.com/ar
agenciaocote.com,1,fact_checker,GT,es,agenciaocote.com,IFCN Verified Signatory 'Ocote' (approved 2025-07-11); LatamChequea member,
akhbarmeter.org,1,fact_checker,EG,ar,akhbarmeter.org,IFCN Verified Signatory (approved 2025-07-11),
alhurra.com,1,public_broadcaster,US,ar,usagm,No MBFC page found; USAGM/MBN with statutory firewall,2025 USAGM cuts; admin to monitor
annir.ly,1,fact_checker,LY,ar,annir.ly,IFCN Verified Signatory (approved 2025-11-06),
aosfatos.org,1,fact_checker,BR,pt,aos-fatos,IFCN Verified Signatory (approved 2026-05-20); LatamChequea,
apnews.com,1,wire,US,en;es,associated-press,Lin2023 pc1=0.998; RSP Generally reliable; MBFC High,AP News Values: unnamed-source material must be corroborated; AP Fact Check (IFCN signatory) publishes at apnews.com/hub/ap-fact-check
bbc.co.uk,1,public_broadcaster,GB,en,bbc,Lin2023 pc1=0.718; RSP Generally reliable,Same organisation as bbc.com
bbc.com,1,public_broadcaster,GB,en;es;ar,bbc,Lin2023 pc1=0.882; RSP Generally reliable; MBFC Least Biased / Mostly Factual / High Credibility; Royal Charter guarantees editorial independence,BBC Mundo (bbc.com/mundo) and BBC Arabic (bbc.com/arabic) share the domain
bloomberg.com,1,wire,US,en;es,bloomberg.com,RSP Generally reliable; MBFC High/Least Biased,Bloomberg Línea (bloomberglinea.com) is the Spanish-language service
bls.gov,1,official,US,en,us-government,Official:government-agency,
boliviaverifica.bo,1,fact_checker,BO,es,boliviaverifica.bo,IFCN 'Expired Signatory' (last approved 2025-05-16); LatamChequea member,Tier 2 until IFCN renewal
cazadoresdefakenews.info,1,fact_checker,VE/UY,es,cazadoresdefakenews.info,IFCN Verified Signatory (approved 2026-05-20); LatamChequea member,
cbc.ca,1,public_broadcaster,CA,en;fr,cbc.ca,Lin2023 pc1=0.817; RSP Generally reliable,
cdc.gov,1,official,US,en;es,us-government,US federal public-health authority; primary source,"Vaccine claims — treat as primary evidence, not as 'news'"
census.gov,1,official,US,en;es,us-government,Lin-type governmental primary source (cbo.gov/usaspending.gov score 0.965 in Lin2023),
chequeado.com,1,fact_checker,AR,es,chequeado,IFCN Verified Signatory (approved 2024-10-07); MBFC Least Biased / HIGH / High Credibility (mediabiasfactcheck.com/chequeado/); LatamChequea coordinator,Runs 'Desinformantes' investigations
colombiacheck.com,1,fact_checker,CO,es,consejo-de-redaccion,"IFCN signatory (status 'In Renewal', last approved 2024-03-27); LatamChequea member",
cotejo.info,1,fact_checker,VE,es,cotejo,IFCN Verified Signatory (approved 2026-07-17); LatamChequea member,
doblecheck.cr,1,fact_checker,CR,es,doblecheck.cr,IFCN Verified Signatory (approved 2026-08-26); LatamChequea member,
dpa.com,1,wire,DE,de;en;es,dpa,RSP Generally reliable; dpa Fact-Checking is EFCSN member (dpa-fact-checking),German wire with Spanish service
dw.com,1,public_broadcaster,DE,de;en;es;ar,deutsche-welle,Lin2023 pc1=0.864; RSP Generally reliable (Deutsche Welle),DW Español and DW Arabic; Deutsche-Welle-Gesetz guarantees independence
eac.gov,1,official,US,en;es,eac.gov,US Election Assistance Commission; primary source,Election-administration claims
ecuadorchequea.com,1,fact_checker,EC,es,ecuador-chequea,IFCN Verified Signatory (approved 2024-12-05); LatamChequea member,
efe.com,1,wire,ES,es,efe,MBFC Least Biased / Factual HIGH / High Credibility (mediabiasfactcheck.com/efe/); EFE Verifica is IFCN Verified Signatory (approved 2025-10-23) and EFCSN member,Spanish national wire; EFE Verifica at efe.com/efe/espana/efeverifica
efectococuyo.com,1,fact_checker,VE,es,efecto-cocuyo,IFCN Verified Signatory 'Efecto Cocuyo (Cocuyo Chequea)' (approved 2026-08-26); LatamChequea member,Independent Venezuelan outlet
factcheck.afp.com,1,fact_checker,FR,en;ar;fr,afp,IFCN verified signatory (AFP); EFCSN member,AFP Fact Check incl. Arabic edition
factcheck.org,1,fact_checker,US,en;es,annenberg-public-policy-center,Lin2023 pc1=0.918; RSP Generally reliable; IFCN Verified Signatory; LatamChequea member,FactCheck.org en español exists
factchequeado.com,1,fact_checker,US,es,maldita,IFCN Verified Signatory (approved 2026-08-26); MBFC Least Biased / HIGH / High Credibility (mediabiasfactcheck.com/factchequeado/); LatamChequea member,US Spanish-language fact-checker (Maldita + Chequeado); most directly relevant to Verdad
factual.afp.com,1,fact_checker,FR,es,afp,IFCN verified signatory (AFP); EFCSN member (afp-agence-france-presse),AFP Factual — Spanish-language fact-checking
factuel.afp.com,1,fact_checker,FR,fr,afp,IFCN:signatory,
fastcheck.cl,1,fact_checker,CL,es,fastcheck.cl,IFCN Verified Signatory (approved 2026-08-28); LatamChequea member,
fatabyyano.net,1,fact_checker,JO,ar,fatabyyano,"IFCN signatory EXPIRED (last approved 2023-04-04, expired=true)",Arabic fact-checker; tier 2 until renewal
fda.gov,1,official,US,en;es,us-government,Official:government-agency,
fec.gov,1,official,US,en,fec.gov,US election finance authority; primary source,
france24.com,1,public_broadcaster,FR,fr;en;es;ar,france-medias-monde,Lin2023 pc1=0.879,France 24 en Español and Arabic editions (France Médias Monde)
fullfact.org,1,fact_checker,GB,en,full-fact,Lin2023 pc1=0.879; IFCN Verified Signatory; EFCSN member (full-fact),Co-powers Duke MediaVault
grupoanimal.mx,1,fact_checker,MX,es,grupoanimal.mx,IFCN Verified Signatory 'Animal Político - El Sabueso' (grupoanimal.mx/verificacion-de-hechos),
kashif.ps,1,fact_checker,PS,ar,kashif.ps,IFCN Verified Signatory 'Kashif' (approved 2026-08-26),
ladiaria.com.uy,1,fact_checker,UY,es,ladiaria.com.uy,IFCN Verified Signatory (approved 2025-08-04); LatamChequea member,General outlet with IFCN-verified fact-check unit
larepublica.pe,1,fact_checker,PE,es,grupo-la-republica,IFCN Verified Signatory 'Verificador de La República' (approved 2025-10-29) — fact-check section only,
lasillavacia.com,1,fact_checker,CO,es,la-silla-vacia,IFCN:signatory,
leadstories.com,1,fact_checker,US,en;es,lead-stories,IFCN Verified Signatory; EFCSN member (lead-stories),Has Spanish-language fact-checks
lupa.news,1,fact_checker,BR,pt,lupa.news,"IFCN signatory (In Renewal, approved 2024-01-19); EFCSN member (lupa); LatamChequea",Portuguese-language
malaespinacheck.cl,1,fact_checker,CL,es,malaespinacheck.cl,IFCN Verified Signatory (approved 2025-10-27); LatamChequea member,
maldita.es,1,fact_checker,ES,es,maldita,"IFCN signatory (status 'In Renewal', last approved 2023-11-03); EFCSN member (fundaci-n-maldita-es); LatamChequea; co-founder of Factchequeado",Tracks Spanish disinformation sites; Maldito Bulo
misbar.com,1,fact_checker,JO/QA,ar;en,misbar.com,NOT found in current IFCN signatory JSON (2026-09); previously a signatory,Tier 2 pending status check
newtral.es,1,fact_checker,ES,es,newtral,IFCN Verified Signatory (approved 2024-09-25); EFCSN member (newtral); MBFC Least Biased / HIGH / High Credibility (mediabiasfactcheck.com/newtral/),
nhk.or.jp,1,public_broadcaster,JP,ja;en;es;ar,or.jp,Lin2023 pc1=0.867 (0.776 for nhkworld),NHK World has Spanish and Arabic services
nih.gov,1,official,US,en;es,us-government,Official:government-agency,
npr.org,1,public_broadcaster,US,en,npr,Lin2023 pc1=0.931; RSP Generally reliable; MBFC Left-Center / HIGH / High Credibility,Editorially independent; Twitter's 2023 'state-affiliated' label was withdrawn after criticism
pbs.org,1,public_broadcaster,US,en,pbs,Lin2023 pc1=0.874; RSP Generally reliable,CPB-funded with statutory firewall
poligrafo.sapo.pt,1,fact_checker,PT,pt,sapo.pt,IFCN Verified Signatory (approved 2024-12-05); EFCSN member (pol-grafo),
politifact.com,1,fact_checker,US,en,poynter,Lin2023 pc1=0.868; RSP Generally reliable; IFCN Verified Signatory; LatamChequea member,
reuters.com,1,wire,GB,en;es;ar,thomson-reuters,"Lin2023 pc1=1.000 (top of 11,520); MBFC High/Least Biased; RSP Generally reliable",Reuters Handbook: single-source stories are the exception and need supervisor approval
rferl.org,1,public_broadcaster,US,en;ru;+,usagm,Lin2023 pc1=0.811; RSP No consensus,USAGM grantee; 2025 funding turmoil; tier 2 due to RSP no-consensus
rfi.fr,1,public_broadcaster,FR,fr;es;ar,france-medias-monde,Lin2023 pc1=0.670 (rfi.fr) / 0.854 (rfi.fr/en),RFI en español; France Médias Monde
rtve.es,1,public_broadcaster,ES,es,rtve.es,No MBFC/Lin rating found; Spanish public broadcaster with statutory independence (Ley 17/2006),Admin to confirm; RTVE Verifica is not an IFCN signatory
sciencefeedback.org,1,fact_checker,FR,en,efe,IFCN Verified Signatory; EFCSN member (science-feedback); RSP Generally reliable (Climate Feedback),Publishes the Consensus Credibility Scores dataset
shechecks.net,1,fact_checker,LY,ar,shechecks.net,IFCN Verified Signatory 'Heya tatahaqaq' (approved 2026-01-27),
snopes.com,1,fact_checker,US,en,snopes-media-group,Lin2023 pc1=0.904; RSP Generally reliable; IFCN signatory (status varies),
t4p.co,1,fact_checker,IQ,ar,t4p.co,IFCN Verified Signatory 'Tech4Peace' (approved 2025-07-15),
uscis.gov,1,official,US,en;es,uscis.gov,US immigration authority; primary source,Immigration claims
usgs.gov,1,official,US,en,us-government,Official:government-agency,
verificado.com.mx,1,fact_checker,MX,es,verificado-mx,IFCN Verified Signatory (approved 2026-01-14); LatamChequea member,
verificat.cat,1,fact_checker,ES,ca;es,verificat,IFCN Verified Signatory (approved 2026-05-18); EFCSN member (verificat),
verify-sy.com,1,fact_checker,SY/TR,ar;en,verify-sy.com,"IFCN signatory 'Verify' (In Renewal, last approved 2024-12-05)",Verify-Sy
voanews.com,1,public_broadcaster,US,en;es;ar,usagm,Lin2023 pc1=0.944; RSP Generally reliable; MBFC Least Biased / HIGH / High Credibility,USAGM; statutory firewall (22 USC 6204) but 2025 political interference — admin should monitor; VOA Noticias (voanoticias.com) & alhurra.com are sister services
who.int,1,official,INT,en;es;ar,united-nations,UN agency; primary source,
